fold,split_role,building_id,grid_id,population,area_total,use_main_code,floors_above,floors_below,height_m,approved_year,use_main_code_int,land_use_residential,land_use_commercial,land_use_industrial,business_density_50m,factory_within_100m,target_population
4,fold_4_train,1990173150844383014900000000,다사290388,350.0,264.3,01000,2,1,0.0,1990,1000,1,0,0,12,0,7.783582660966307
4,fold_4_train,1990173151694381371100000000,다사290387,306.0,273.36,03000,3,1,0.0,1990,3000,0,1,0,36,0,0.3362099713429459
4,fold_4_train,1990173155134383503700000000,다사290389,105.0,399.84,01000,3,1,177.97,1990,1000,1,0,0,52,0,6.8203273150184085
4,fold_4_train,1990173156424384635500000000,다사290390,223.0,263.43,01000,2,1,0.0,1990,1000,1,0,0,12,0,6.341252078222559
4,fold_4_train,1990173157564384761400000000,다사290390,223.0,274.6,01000,2,1,0.0,1990,1000,1,0,0,5,0,6.6101348391599855
4,fold_4_train,1990173157584383665400000000,다사290389,105.0,419.04,04000,3,1,178.11,1990,4000,0,1,0,64,0,0.35739170144124077
4,fold_4_train,1990173158594385855700000000,다사290391,134.0,328.29,01000,2,1,0.0,1990,1000,1,0,0,11,0,6.033278524238727
4,fold_4_train,1990173159384384958500000000,다사290390,223.0,356.4,04000,3,1,0.0,1990,4000,0,1,0,2,0,0.4289606803854003
4,fold_4_train,1990173163184390234100000000,다사290396,303.0,324.84,02000,3,1,0.0,1990,2000,1,0,0,2,1,9.74352816491982
4,fold_4_train,1990173164994390385700000000,다사290396,303.0,328.66,02000,3,1,0.0,1990,2000,1,0,0,3,1,9.858108504748639
4,fold_4_train,1990173165364382551100000000,다사290388,350.0,293.85,01000,2,1,0.0,1990,1000,1,0,0,4,0,8.653824309212824
4,fold_4_train,1990173167154405550800000000,다사290411,293.0,327.56,02000,3,1,0.0,1990,2000,1,0,0,7,0,7.679273940956694
4,fold_4_train,1990173167164382689100000000,다사290388,350.0,287.62,01000,2,1,0.0,1990,1000,1,0,0,3,0,8.470352042932761
4,fold_4_train,1990173170204380940100000000,다사290386,173.0,494.0,04000,3,1,177.36,1990,4000,0,1,0,34,0,2.3243663557339604
4,fold_4_train,1990173170784381894700000000,다사290387,306.0,280.94,01000,2,1,0.0,1990,1000,1,0,0,4,0,6.910654766541352
4,fold_4_train,1990173173174389708000000000,다사290395,303.0,329.71,02000,3,1,0.0,1990,2000,1,0,0,8,1,12.16946514239752
4,fold_4_train,1990173173594383261900000000,다사290389,105.0,328.88,01000,3,1,0.0,1990,1000,1,0,0,40,0,5.609917085242233
4,fold_4_train,1990173179564382671600000000,다사290388,350.0,302.76,01000,2,1,0.0,1990,1000,1,0,0,2,0,8.916222044775477
4,fold_4_train,1990173185684381398700000000,다사290387,306.0,267.08,01000,2,1,0.0,1990,1000,1,0,0,20,0,6.569721915881912
4,fold_4_train,1990173188194386326500000000,다사290392,147.0,343.75,01000,3,1,0.0,1990,1000,1,0,0,25,0,7.36646702717971
4,fold_4_train,1990173190964398929000000000,다사290404,320.0,1280.69,04000,5,1,269.98,1990,4000,0,1,0,27,0,2.1402122132568
4,fold_4_train,1990173192914389444700000000,다사290395,303.0,473.2,04000,3,1,176.83,1990,4000,0,1,0,14,1,0.8732812024783154
